,reviewtext,Rooms,Location,Cleanliness,Checkin,Service
0,"Awesome Everything about this resort was great. My wife and I had such a wonderful time that we are already looking for flights to go back. The resort is spectacular! The staff is extremely friendly and they were all very helpful. Everywhere we went the folks were really nice, either the bar, the beach, the front desk, room service or house cleaning. It's a really great place for couples because of the location of the hotel, which is in south Puerto Rico, far far away from the hectic hustle and bustle of San Juan. And because it's so far away from the high-traffic, high-pollution San Juan, the weather is much better than San Juan. We landed in San Juan and it was raining. Then we went on a one-day trip to San Juan and it was raining. Then on the flight back, it was raining again in San Juan. We stayed in Ponce 6 days and it DID NOT rain even once. The closest it got was a bit overcast in the evening one night. The breakfast is awesome! The other two restaurants at the resort are awesome! We had so much fun that we didn't even go to the Casino. We highly recommend this resort for anyone looking for a romantic getaway or with a family with kids.",1.0,1.0,1.0,1.0,1.0
1,"Convenient  When I say Above Average I'm comparing to sparse alternative offerings in the Ponce area (and being an avid golfer, this place having no competition in the south central portion to the island). The resort was easy to get to and conveniently located, but it (in the greater worldwide scheme of things) wasn't anything close to special. Furthermore (aside from the outstanding 27 hole on site golf course), it was not redeeming other than it was situated on the ocean (to be more precise, the Carribean Sea) and had two separate pool and beach areas (one moderate size family pool with large beach area at hotel, and another dazzling adult pool with small beach area at the golf course clubhouse complex). We ate out in town, but availed ourselves to the bar lounge area (good, but expensive mixed drinks and beer) and to the casino (okay, but not exciting and no Vegas - or Mesquite, for that matter). The rooms were clean and all have a view toward the ocean overlooking the gardened grounds, but it was not spacious or memorable. At this low season stay, we still had to pay a AAA rate of $160 and pony up an extra $8 parking fee (for the priviledge of parking in one of several hundred unsused spaces in a cavernous parking lot) as well as a $11+ resort fee (were told to pay for groundskeeping costs). All in all, this single night stay (and playing the full 27 holes of golf) was fine and dandy, but it doesn't beckon to me to pay a return visit.",1.0,1.0,1.0,,-1.0
2,"Nice with its quirks Beach looking west, the room is very good and the view in the room is beautiful city with light. Checkin is easy and staff is humble, they help us to checkin and clean. I want to sleep here again",1.0,1.0,1.0,1.0,1.0
3,"Always a 5 star stay! Its always a good trip when you stay at the Ponce Hilton in Ponce Puerto Rico. I just spent 4 days and 3 nights at this facility and as usual I found it clean, the staff extremely friendly, and there was nothing you could need that was not available. Granted this is a 5 star resort, so if your looking for a bare bones cheap stay this is not the place. But if you want to be catered to, have the staff not only know who you are but be able to address you by name. If you want every possible type of food in what ever amount you want at a moments notice. If you want immediate access to 5 restaurants and 7 bars, a business center and an executive lounge. If you want full service spa's, training areas, casinos, night clubs, etc. then this is the place for you! If this sound like your kind of place the run, don't walk to the Costa Caribe Ponce Hilton.",,,1.0,,1.0
4,Loved It! The hotel is beautiful with spectacular views. Staff are friendly and kind. I've seen remarks written about the double beds and it is true. Double beds not much larger than a single. Our room was right off the pool and feet from the beach. Retrieving the car was simple and quick. The breakfast was great. I would definitely come back. The only major thing we had a problem with but through no fault of the hotel was the putrid smell from the Don Q rum factory. It's enough to make you upchuck. Other than that - GREAT TIME. Check in/Check out - 123.,-1.0,1.0,-1.0,1.0,1.0
5,"Wonderful Hotel!!! This hotel was great! The room was immaculate, the sheets  bedspreads (which I'm very picky about) were plush, soft, super clean, no complaints about that. The room itself, when I first walked in, smelled deodorized  properly kept.The pool area was beautiful, the terrace with the colossal columns  dangling lights contributes to a feel of tropical elegance. Gym was OK, but would like them to add more treadmills. But the crown of our stay was the Rest La Cava. As soon as we walked in, the services just outstanding. The waiter  host were professional and proper, yet friendly. They were about to close the restaurant, but decided to cater to us regardless. We contemplated the bottles of wines (and the price tags) of wines from all over the world. The food was fresh, and elegantly served. The souffle for dessert, I still crave to this day its delicious grand manier flavor. Would definitely go back! My husband, my boys (teenagers) really enjoyed the stay and would definitely go back.",1.0,,1.0,1.0,1.0
6,"A great resort destination! I loved my two-week stay here! Great breakfasts, lunches and dinners. Everything is open, and walking around the hotel at midnight is commonplace. It is an open community, with an excellent swimming pool, comfortable rooms, and a great location! The price could be hefty, but if you are on vacation, splurging (moderately) is not a big big issue! Enjoy your stay.",1.0,1.0,,,1.0
7,"Best Pina Coladas in all of Puerto Rico The one thing about this hotel is...Best Pina Coladas in all of Puerto Rico. The resort could use a remodel. It is dated. The staff at the front desk is friendly. The rooms are okay, definitely not U.S. standards for cleanliness. The fine dining restaurant is expensive but very romantic and has good food. There is nothing in Ponce to do. We went to the boardwalk marina area but it was boring. No shops or restaurants. Just a bunch of bars that were the size of a tool shed. I would not go back to this resort.",1.0,,-1.0,1.0,1.0
8,"crappy hotel This hotel was not so good on almost all levels. The buffet at terraza was just thawed, pre frozen food....not fresh. Yuck. The service: horrible. I had reserved the suite suitable for 6 people and then gave my room to someone else then gave me (without asking me first) a room suitable for 2 people. When i came back to the desk to explain it took almost 2 hours to correct the problem, which they said was now 3 rooms in the executive tower. But they didn't mention that one room had a murphy bed with no blankets! ahh. The beach here is almost not swim worthy. It is black sand and covered in rocks. The pool is WAY overcrowded. Basically, if you want to stay in a hilton, stay at Hilton Caribe in San Juan. EVERYTHING is better there.",-1.0,,-1.0,,-1.0
9,"Only good thing was golf. The hotel only has one pool that was extremely overcrowded with people, the other pool was in the golf club which is about a 5 minute drive, I would recommend the golf course, it was beautiful. But the actual hotel looked like it hadn't been renovated since the 80's,  it was not very clean, our room smelled like a bad car freshner, we didn't even have a duvet cover on our bed there were just two sheets wrapped around the dirty comforter, the food was just OK, I guess I just expect more when you are paying 250 a night.",-1.0,,-1.0,,-1.0
10,Wonderful and Quiet Hotel! We stayed at the Ponce Hilton for six nights. The hotel was easy to get to from the San Juan airport. The hotel staff was very friendly. The room was very large and clean. The king size bed was very comfortable. I would recommend staying in the Executive Towers because you have access to a continental breakfast and the Internet in the executive lounge. I highly recommend eating at Sancho's Sushi at the hotel. They have the best sushi and the service was awesome! Definitely rent a car when staying in Puerto Rico. There are so many beautiful beaches around the country within several miles. There are tolls on some of the roads so make sure you have quarters. Driving is simple as long as you stay on the main highways. Once you start getting off the main highways the roads are very narrow and scary. Puerto Rico is a beautiful country.,1.0,1.0,1.0,,1.0
11,"Hotel in Ponce The pool in this hotel is great. My room was clean, the bed comfortable and the restaurant was great. I wish my wife had the time to take off and share that experience.",1.0,,1.0,,
12,Just Great View from my room,1.0,1.0,,,
13,"3 Star hotel pretending to be a 5 star hotel Beware. This hotel pretends to be considered 5 stars, but at best they are a 3 star with ocean view. The service ranges from OK to mediocre, and the food is very expensive. The rooms are nothing to die for, and the main lobby is way too dark considering the extremely elevated crime rate of the area. If you are driving to the property you'll have to pay a parking fee. The interesting fact is that they have no personnel at the gate because a bunch of crooks assaulted them with shotguns and took all the money from their petty cash (a hotel employee actually told me this fact). So yes, crime will be at your doorstep, so be extremely careful and on the lookout.Some of the hotel staff are nice, but in general they don't make you feel welcome to the place.",-1.0,,,,-1.0
14,"Great get Away Just got back after 4 night stay. The hotel itself is great , exceptionally clean, well maintained and quiet. There are staff members that need to be trained in hospitality and being cordial. They have a little casino which caters mostly to locals and unfortunately theres a lot of nepotism. Customer grievances are handled hap-hazardly and unprofessionally. The wait staff really try to treat customers like family and do a fantastic job. The casino rates players but All I was able to get after 4 days of blackjack at $10 a hand was 4 virgin pina coladas, I took them. The slots are just tight . Since its that nicest hotel in the area I don't have much to choose from. Since my family lives in the area I have to deal with it. If you come here hope for a positve experience but remember youv'e been warned. It's in a isolated spot, there plenty of sun but beach is like volcanic ash. They charged $4.50 for guests to park overnight even thoough I was in the casino playing but locals have parking validated. They charge a $11.90 resort tax and there are no boats, kayaks or beach toys. They have a little gym and restaurants I did not patronize. A day trip to Ponce area can be done in three hours.",1.0,,1.0,,-1.0
15,"Excellent retreat This is our third visit to Ponce Hilton. In addition to its excellent staff, Ponce Hilton offers many amenities at a reasonable rate. We walked around the grounds (kept very clean) in the morning and used the fitness center and the pool in the main hotel. We did not have time to use the pool at the Clubhouse, but we highly recommend it to those who prefer a quieter setting. Mosquitoes were not a huge problem. The hotel sprayed at night and kept the grounds free of debris. As for food, we had the continental breakfast and lunch at the hotel. The cold breakfast buffet offers numerous choices including fresh fruit, yogurt, soy, juices, cheeses, cereals, pastries, etc. You have the option of a hot breakfast as well. Ponce Hilton is an excellent choice if you plan to explore historic Ponce and Puerto Rico's southern beaches, forests, and other natural preserves. Before you venture out, make sure to stop at the front desk to confirm travel routes and other important information. We were planning to visit Gilligan's Island during our stay but changed our plans based on the information the consierge obtained from the boat operator when she contacted the company on our behalf. The main dock at Gilligan's had been damaged by recent period of heavy rain. The boat was still operating but accessibility was more difficult.",,1.0,1.0,1.0,1.0
16,"Mosquito and dengue fever My wife and I drove from San Juan to stay 1 night.The hotel is nice but not great. The hotel and rooms are dated modern.Our room was OK, had a fridge, loved the A/C. Being a Diamond VIP, I had a selection of chocolates and strawberry and a large bottle of Fiji water waiting.The hotel has a casino which doesn't even call my attention. A nicely styled outdoor pool, a poor, ratty fitness center, a so-so beach area (watch out for the undertow) with soft, fine dark sand.All rooms are accessed from the exterior. We were in the executive tower which I guess is supposed to be exclusive.NOW, the very bad part: Perhaps due to the recent rains per a local (Ponce is on the leeward side of the island--drier and hotter) or not, but there was a horrendous mosquito invasion that could not be avoided even in the rooms. Despite heavy chemical spraying, they thrived loving the recessed door and patio areas of each room. Did I mention that Puerto Rico is closely monitoring an outbreak of dengue fever? We and others were running and flailing our arms and towels when going outside the rooms--remember all rooms are accessed from the exterior. It truly was horrible. We slept with the A/C fan on high (very impressive), temp set at 60 degrees with the ceiling fan on high over the bed--we slept with the covers covering our heads all because of the mosquitoes.Not even the free night using points was comforting and I still paid for parking.Nothing great at all.",1.0,,-1.0,,-1.0
